"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","timeout","failed_images","failed_audio","failed_video","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"","null","image-keyboard-response","544","2.0.0","556520","pbtb0o7fkvk","camel","stimuli/gym_24.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","545","2.0.0","557535","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","546","2.0.0","558551","pbtb0o7fkvk","camel","stimuli/stream_45.jpg","null","","","","","","","","","","","","","","",""
"","339","html-keyboard-response","547","2.0.0","558891","pbtb0o7fkvk","camel","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","","","","","1","","","","[""D"",""E"",""F""]","[""J"",""B"",""F""]","true","[""<p>Sequence 1</p>"",""stimuli/kitchen_29.jpg"",""stimuli/street_56.jpg"",""stimuli/stream_45.jpg""]","[""<p>Sequence 2</p>"",""stimuli/gym_24.jpg"",""stimuli/bar_10.jpg"",""stimuli/stream_45.jpg""]"
"","null","html-keyboard-response","548","2.0.0","559903","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","549","2.0.0","560917","pbtb0o7fkvk","camel","stimuli/bridge_55.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","550","2.0.0","561918","pbtb0o7fkvk","camel","stimuli/field_18.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","551","2.0.0","562933","pbtb0o7fkvk","camel","stimuli/playground_23.jpg","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","552","2.0.0","563937","pbtb0o7fkvk","camel","<p></p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","553","2.0.0","564939","pbtb0o7fkvk","camel","<p>Sequence 2</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","554","2.0.0","565953","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","555","2.0.0","566957","pbtb0o7fkvk","camel","stimuli/street_56.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","556","2.0.0","567971","pbtb0o7fkvk","camel","stimuli/playground_23.jpg","null","","","","","","","","","","","","","","",""
"","521","html-keyboard-response","557","2.0.0","568494","pbtb0o7fkvk","camel","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","","","","","1","","","","[""G"",""H"",""I""]","[""A"",""E"",""I""]","true","[""<p>Sequence 1</p>"",""stimuli/bridge_55.jpg"",""stimuli/field_18.jpg"",""stimuli/playground_23.jpg""]","[""<p>Sequence 2</p>"",""stimuli/woods_42.jpg"",""stimuli/street_56.jpg"",""stimuli/playground_23.jpg""]"
"","null","html-keyboard-response","558","2.0.0","569497","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","559","2.0.0","570510","pbtb0o7fkvk","camel","stimuli/bridge_55.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","560","2.0.0","571524","pbtb0o7fkvk","camel","stimuli/field_18.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","561","2.0.0","572526","pbtb0o7fkvk","camel","stimuli/playground_23.jpg","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","562","2.0.0","573527","pbtb0o7fkvk","camel","<p></p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","563","2.0.0","574650","pbtb0o7fkvk","camel","<p>Sequence 2</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","564","2.0.0","575666","pbtb0o7fkvk","camel","stimuli/kitchen_29.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","565","2.0.0","576677","pbtb0o7fkvk","camel","stimuli/field_18.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","566","2.0.0","577694","pbtb0o7fkvk","camel","stimuli/desert_63.jpg","null","","","","","","","","","","","","","","",""
"","458","html-keyboard-response","567","2.0.0","578153","pbtb0o7fkvk","camel","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","","","","","1","","","","[""G"",""H"",""I""]","[""D"",""H"",""L""]","true","[""<p>Sequence 1</p>"",""stimuli/bridge_55.jpg"",""stimuli/field_18.jpg"",""stimuli/playground_23.jpg""]","[""<p>Sequence 2</p>"",""stimuli/kitchen_29.jpg"",""stimuli/field_18.jpg"",""stimuli/desert_63.jpg""]"
"","null","html-keyboard-response","568","2.0.0","579157","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","569","2.0.0","580166","pbtb0o7fkvk","camel","stimuli/bridge_55.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","570","2.0.0","581222","pbtb0o7fkvk","camel","stimuli/coast_64.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","571","2.0.0","582225","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","","","","","","","","","","",""
